CncChannelListType_CncChannel_ActJogIncrement_ValuePrecision,15098,Variable
CncChannelListType_CncChannel_ActJogIncrement_InstrumentRange,15099,Variable
CncChannelListType_CncChannel_ActJogIncrement_EURange,15100,Variable
CncChannelListType_CncChannel_ActJogIncrement_EngineeringUnits,15101,Variable
CncChannelListType_CncChannel_ActMainProgramFile,15102,Variable
CncChannelListType_CncChannel_ActMainProgramFile_Definition,15103,Variable
CncChannelListType_CncChannel_ActMainProgramFile_ValuePrecision,15104,Variable
CncChannelListType_CncChannel_ActMainProgramFileOffset,15105,Variable
CncChannelListType_CncChannel_ActMainProgramFileOffset_Definition,15106,Variable
CncChannelListType_CncChannel_ActMainProgramFileOffset_ValuePrecision,15107,Variable
CncChannelListType_CncChannel_ActMainProgramLine,15108,Variable
CncChannelListType_CncChannel_ActMainProgramLine_Definition,15109,Variable
CncChannelListType_CncChannel_ActMainProgramLine_ValuePrecision,15110,Variable
CncChannelListType_CncChannel_ActMainProgramName,15111,Variable
CncChannelListType_CncChannel_ActMainProgramName_Definition,15112,Variable
CncChannelListType_CncChannel_ActMainProgramName_ValuePrecision,15113,Variable
CncChannelListType_CncChannel_ActMFunctions,15114,Variable
CncChannelListType_CncChannel_ActMFunctions_Definition,15115,Variable
CncChannelListType_CncChannel_ActMFunctions_ValuePrecision,15116,Variable
CncChannelListType_CncChannel_ActOverride,15117,Variable
CncChannelListType_CncChannel_ActOverride_Definition,15118,Variable
CncChannelListType_CncChannel_ActOverride_ValuePrecision,15119,Variable
CncChannelListType_CncChannel_ActOverride_InstrumentRange,15120,Variable
CncChannelListType_CncChannel_ActOverride_EURange,15121,Variable
CncChannelListType_CncChannel_ActOverride_EngineeringUnits,15122,Variable
CncChannelListType_CncChannel_ActProgramBlock,15123,Variable
CncChannelListType_CncChannel_ActProgramBlock_Definition,15124,Variable
CncChannelListType_CncChannel_ActProgramBlock_ValuePrecision,15125,Variable
CncChannelListType_CncChannel_ActProgramFile,15126,Variable
CncChannelListType_CncChannel_ActProgramFile_Definition,15127,Variable
CncChannelListType_CncChannel_ActProgramFile_ValuePrecision,15128,Variable
CncChannelListType_CncChannel_ActProgramFileOffset,15129,Variable
CncChannelListType_CncChannel_ActProgramFileOffset_Definition,15130,Variable
CncChannelListType_CncChannel_ActProgramFileOffset_ValuePrecision,15131,Variable
CncChannelListType_CncChannel_ActProgramLine,15132,Variable
CncChannelListType_CncChannel_ActProgramLine_Definition,15133,Variable
